zip,arealand_zcta,geoid,arealand_part
02452,9876411,2572600,9876411
02453,9303072,2572600,9303072
02457,524505,2574210,524505
02458,5090903,2545560,5090903
02459,13037033,2545560,13037033
02460,3490994,2545560,3490994
02461,3976047,2545560,3976047
02462,1808867,2545560,1808867
02464,1425965,2545560,1425965
02465,5571348,2545560,5571348
02466,4111216,2545560,4111216
02467,12705527,2507000,1532495
02467,12705527,2509210,7491783
02467,12705527,2545560,3681249
02468,3978271,2545560,3978271
02472,10438170,2505105,1720
02472,10438170,2511000,73301
02472,10438170,2545560,1694
02472,10438170,2572600,5065
02472,10438170,2573440,10356390
02474,7921394,2501640,7921394
02476,5398605,2501640,5398605
02478,12031500,2505105,12031500
02481,15772055,2574210,15772055
02482,9637341,2574210,9637341
02492,24619092,2544140,24598501
02492,24619092,2574210,20591
02494,7253072,2544140,7253072
02532,35708392,2507140,4415301
02532,35708392,2510015,4961541
02532,35708392,2542670,4995313
02532,35708392,2558965,91358
02534,7094494,2547730,59213
02534,7094494,2554450,243356
02536,70872670,2518980,14079135
02536,70872670,2569205,2661359
02537,35537876,2503690,3267
02537,35537876,2520380,17944071
02538,16223972,2551160,587930
02538,16223972,2579390,2998662
02539,69445842,2521115,3095349
02540,28502285,2523070,5407713
02540,28502285,2569205,68021
02540,28502285,2575960,7779576
02540,28502285,2581245,1076991
02543,29325480,2581245,4453736
02553,512178,2542670,512178
02554,103565881,2537735,5142448
02554,103565881,2543755,15082444
02556,10222407,2547730,10022433
02556,10222407,2575960,199974
02557,8391732,2550425,4333054
02558,2892355,2551160,2036467
02559,13810030,2542670,1179180
02559,13810030,2554450,9332284
02561,2147291,2558965,2147291
02562,8744445,2558965,6386014
02563,34228075,2520380,1522824
02563,34228075,2524190,1138384
02563,34228075,2559700,9403352
02564,15718343,2561940,5506151
02568,33277884,2550425,356242
02568,33277884,2571970,3377879
02571,48437269,2551160,168303
02571,48437269,2573020,4187513
02571,48437269,2578410,1139894
02571,48437269,2578850,3285815
02576,24357200,2578410,8533662
02601,22710542,2503690,22703956
02601,22710542,2578795,6586
02630,12638020,2503690,12638020
02631,57484827,2507945,10094199
02632,19323103,2503690,19323103
02633,22359890,2512960,6830648
02633,22359890,2575505,7574262
02635,14214911,2503690,14214911
02637,1999717,2503690,1999717
02638,14598332,2516740,12161044
02638,14598332,2518840,2437288
02639,7243252,2516810,7135424
02639,7243252,2549700,1417
02639,7243252,2575820,106411
02641,4295299,2518840,4295299
02642,36176252,2547590,8916741
02644,8738929,2524190,8738929
02645,43837359,2519400,20772775
02645,43837359,2529055,5488928
02645,43837359,2529090,1251085
02645,43837359,2549700,14582644
02646,7520248,2529055,336466
02646,7520248,2529090,5564579
02646,7520248,2549700,1619203
02647,1117338,2503690,1117338
02648,25856964,2503690,25856964
02649,60602698,2539152,3279392
02649,60602698,2541960,599605
02649,60602698,2545500,6240424
02649,60602698,2555070,791665
02649,60602698,2555090,186397
02649,60602698,2560505,911546
02649,60602698,2560627,266476
02653,31214546,2551405,6007516
02655,16759946,2503690,16759946
02657,25046216,2555535,4629285
02660,21686920,2516740,558556
02660,21686920,2516810,713931
02660,21686920,2518840,5789903
02660,21686920,2563655,11785191
02660,21686920,2575820,2839339
02664,18090074,2566035,14457225
02668,37080782,2503690,37080782
02670,5500890,2575820,5500890
02671,4491710,2516810,19796
02671,4491710,2549700,4471914
02672,1279040,2503690,1279040
02673,24010170,2503690,1442
02673,24010170,2566035,3558221
02673,24010170,2578795,17318921
02675,22697369,2503690,2239519
02675,22697369,2582595,15588785
02703,69315047,2502690,69315047
02717,57447081,2523000,11706919
02718,26647485,2569170,26647485
02720,34142904,2523000,34142904
02721,10419556,2523000,10419556
02723,4130257,2523000,4130257
02724,4664630,2523000,4664630
02725,6146865,2562465,6146865
02726,14313468,2562465,14313468
02738,36580513,2538575,2653918
02739,44896932,2539485,12667866
02740,14885718,2545000,14885718
02743,46770857,2500530,3665479
02743,46770857,2545000,2651
02744,3369419,2545000,3369419
02745,25432488,2545000,24473126
02746,7378880,2545000,7378880
02747,106196771,2506170,439492
02747,106196771,2523000,8460998
02747,106196771,2545000,1687339
02747,106196771,2562300,12083877
02748,60111971,2506170,4745036
02748,60111971,2545000,3529
02760,46512347,2546598,46512347
02763,2323201,2546598,2323201
02764,28230398,2569170,8238
02766,72088057,2550005,4394996
02767,64105034,2556095,10919100
02767,64105034,2569170,8522241
02771,47633738,2549200,3623639
02777,58619914,2550880,1713850
02780,85795283,2569170,85795283
02790,139566533,2523000,12262680
02790,139566533,2549710,13441052
02804,30535112,4403520,6148842
02804,30535112,4435200,5571053
02808,19648775,4408020,3226800
02812,10345580,4412340,3921744
02813,95040621,4412340,2452666
02813,95040621,4414320,4750625
02813,95040621,4460260,3480361
02814,112380623,4414860,14251499
02814,112380623,4433040,5955896
02815,7034679,4415940,1152709
02818,54974539,4474300,12565364
02823,552821,4419180,476398
02825,142545204,4415940,3312688
02825,142545204,4427640,5614385
02827,55533234,4431240,15732648
02828,11256233,4431600,9209786
02829,1575809,4433040,1575809
02830,52847684,4433400,2103497
02830,52847684,4454460,916670
02831,27848378,4419180,3707248
02832,64213176,4434660,8494750
02832,64213176,4435200,224679
02832,64213176,4480960,6203
02833,9063697,4435200,2756271
02840,18850120,4449960,18846907
02840,18850120,4450140,3213
02841,892306,4449960,892306
02842,32472020,4445010,2137498
02842,32472020,4449960,20514
02842,32472020,4450140,14898125
02857,111803826,4433040,91429
02859,71580063,4414860,13994
02859,71580063,4454460,12212676
02860,13824241,4414140,911
02860,13824241,4422960,546584
02860,13824241,4454640,13239700
02860,13824241,4459000,37046
02861,9250531,2502690,42976
02861,9250531,4454640,9207555
02863,3092176,4414140,3091532
02863,3092176,4454640,644
02864,68555088,4420260,8238052
02864,68555088,4472500,9189161
02871,44206529,4445010,2859130
02878,75278045,4470700,10824751
02879,102288592,4414320,1110907
02879,102288592,4438980,1692056
02879,102288592,4448700,300807
02879,102288592,4473132,12769245
02881,8724042,4438980,2339261
02882,33255279,4448700,8937019
02886,40912730,4474300,40912730
02888,15273235,4474300,15273235
02889,21900514,4474300,21900514
02891,68071994,4408020,1480043
02891,68071994,4446000,3037352
02891,68071994,4475200,2076242
02891,68071994,4475920,3011187
02891,68071994,4476820,41010350
02895,20108495,4480780,20062373
02898,30782060,4434660,108169
02898,30782060,4480960,2226979
02903,4346119,4459000,4346119
02904,13406602,4459000,5210788
02905,9698129,4419180,3467007
02905,9698129,4422960,2898
02905,9698129,4459000,6228224
02906,8026940,4459000,8026940
02907,5717892,4419180,188835
02907,5717892,4459000,5529057
02908,8811470,4459000,8744073
02909,8107345,4419180,25102
02909,8107345,4459000,8072389
02910,8891784,4419180,8640541
02910,8891784,4459000,251243
02911,6473941,4459000,139078
02912,512741,4459000,512741
02914,12709014,4422960,12709014
02915,14275572,4422960,14275572
02916,6871960,4422960,6871960
02917,55539251,4431600,5185992
02918,402867,4459000,402867
02919,60887350,4459000,170384
02920,23174901,4419180,23174901
02921,33733541,4419180,33733541
03031,87842895,3301220,1881234
03036,67381252,3317860,61732
03038,92840001,3317860,41440798
